中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,85 Mbps,10956 kB/s
18.216.55.100,443,18.216.55.100,US,Columbus,中转,27 ms,667 Mbps,85401 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,12 ms,1 Mbps,207 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,70 ms,276 Mbps,35328 kB/s
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,70 ms,282 Mbps,36147 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,73 ms,279 Mbps,35737 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,96 ms,288 Mbps,36966 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,53 ms,384 Mbps,49254 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,88 ms,47 Mbps,6129 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,69 ms,342 Mbps,43827 kB/s
158.101.221.74,443,2606:f240:f00:2be4:0:8d07:7f7b:5c09,DE,Frankfurt,隧道,91 ms,224 Mbps,28672 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,71 ms,74 Mbps,9498 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,68 ms,345 Mbps,44236 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,96 ms,45 Mbps,5775 kB/s
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,71 ms,87 Mbps,11161 kB/s
144.24.200.164,443,144.24.200.164,FR,Marseille,中转,95 ms,46 Mbps,6011 kB/s
132.226.134.15,443,2606:f240:f00:a683:0:2509:ff11:37b7,DE,Frankfurt,隧道,119 ms,183 Mbps,23449 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,91 ms,47 Mbps,6045 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,171 ms,107 Mbps,13721 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,176 ms,38 Mbps,4877 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,204 ms,11 Mbps,1411 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,221 ms,32 Mbps,4214 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,219 ms,25 Mbps,3261 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,235 ms,31 Mbps,3994 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,166 ms,40 Mbps,5212 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,253 ms,34 Mbps,4450 kB/s
64.110.75.145,443,64.110.75.145,KR,Hong Kong,中转,193 ms,71 Mbps,9200 kB/s
