中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,16 ms,611 Mbps,78233 kB/s,78233.0
43.153.80.208,443,43.153.80.208,US,San Jose,中转,72 ms,464 Mbps,59494 kB/s,59494.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,63 ms,456 Mbps,58470 kB/s,58470.0
43.153.103.203,443,43.153.103.203,US,San Jose,中转,67 ms,439 Mbps,56217 kB/s,56217.0
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,92 ms,395 Mbps,50585 kB/s,50585.0
35.230.79.26,443,35.212.212.40,US,Seattle,隧道,72 ms,363 Mbps,46489 kB/s,46489.0
35.197.23.75,443,35.212.212.40,US,Seattle,隧道,68 ms,348 Mbps,44646 kB/s,44646.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,63 ms,348 Mbps,44544 kB/s,44544.0
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,68 ms,337 Mbps,43212 kB/s,43212.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,94 ms,287 Mbps,36761 kB/s,36761.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,78 ms,274 Mbps,35123 kB/s,35123.0
143.47.176.251,443,163.123.193.7,DE,Frankfurt,隧道,91 ms,242 Mbps,31027 kB/s,31027.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,73 ms,222 Mbps,28467 kB/s,28467.0
132.226.134.15,443,2606:f240:f00:a683:0:2509:ff11:37b7,DE,Frankfurt,隧道,98 ms,218 Mbps,27955 kB/s,27955.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,163 ms,139 Mbps,17817 kB/s,17817.0
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,5 ms,54 Mbps,7034 kB/s,7034.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,89 ms,42 Mbps,5435 kB/s,5435.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,94 ms,42 Mbps,5414 kB/s,5414.0
150.230.63.93,443,150.230.63.93,JP,Osaka,中转,171 ms,41 Mbps,5325 kB/s,5325.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,166 ms,40 Mbps,5126 kB/s,5126.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,182 ms,37 Mbps,4846 kB/s,4846.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,230 ms,36 Mbps,4673 kB/s,4673.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,203 ms,34 Mbps,4440 kB/s,4440.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,226 ms,32 Mbps,4168 kB/s,4168.0
168.138.212.80,443,168.138.212.80,JP,Seattle,中转,176 ms,30 Mbps,3965 kB/s,3965.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,206 ms,17 Mbps,2214 kB/s,2214.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,89 ms,15 Mbps,1933 kB/s,1933.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,104 ms,0 Mbps,59 kB/s,59.0
