中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,29 ms,653 Mbps,83660 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,48 ms,507 Mbps,64921 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,374 Mbps,47923 kB/s
129.146.7.98,443,129.146.7.98,US,Los Angeles,中转,49 ms,423 Mbps,54169 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,49 ms,479 Mbps,61337 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,50 ms,470 Mbps,60211 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,48 ms,462 Mbps,59187 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,38 ms,507 Mbps,64921 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,69 ms,284 Mbps,36454 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,118 ms,43 Mbps,5585 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,119 ms,43 Mbps,5614 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,124 ms,176 Mbps,22630 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,147 ms,40 Mbps,5210 kB/s
3.112.21.102,443,3.112.21.102,JP,Osaka,中转,134 ms,148 Mbps,19046 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,154 ms,42 Mbps,5418 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,124 ms,39 Mbps,5104 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,165 ms,38 Mbps,4964 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,180 ms,31 Mbps,4082 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,102 ms,0 Mbps,71 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,205 ms,34 Mbps,4476 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,205 ms,36 Mbps,4633 kB/s
158.180.74.63,443,128.14.110.206,SG,Singapore,隧道,212 ms,65 Mbps,8435 kB/s
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,165 ms,116 Mbps,14950 kB/s
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,189 ms,1 Mbps,145 kB/s
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,161 ms,40 Mbps,5192 kB/s
