中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度
18.216.55.100,443,18.216.55.100,US,Columbus,中转,21 ms,556 Mbps,71168 kB/s
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,51 ms,457 Mbps,58572 kB/s
192.9.139.160,443,192.9.139.160,US,San Jose,中转,59 ms,496 Mbps,63590 kB/s
184.169.181.217,443,184.169.181.217,US,San Jose,中转,48 ms,445 Mbps,57036 kB/s
129.213.136.180,443,2603:c020:4015:ebab:563:e432:6616:6dc6,US,Ashburn,隧道,25 ms,37 Mbps,4743 kB/s
198.23.254.51,443,198.23.254.51,US,San Jose,中转,52 ms,328 Mbps,42086 kB/s
23.94.43.51,443,23.94.43.51,US,Seattle,中转,50 ms,426 Mbps,54579 kB/s
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,47 ms,502 Mbps,64307 kB/s
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,52 ms,432 Mbps,55398 kB/s
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,121 ms,46 Mbps,6006 kB/s
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,134 ms,43 Mbps,5518 kB/s
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,121 ms,42 Mbps,5398 kB/s
143.47.190.37,443,2606:f240:f00:2be4:0:2a34:1061:8f16,DE,Frankfurt,隧道,124 ms,131 Mbps,16793 kB/s
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,140 ms,38 Mbps,4964 kB/s
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,147 ms,37 Mbps,4845 kB/s
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,148 ms,208 Mbps,26726 kB/s
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,168 ms,45 Mbps,5866 kB/s
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,127 ms,45 Mbps,5849 kB/s
168.138.185.234,443,168.138.185.234,SG,Singapore,中转,203 ms,75 Mbps,9653 kB/s
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,183 ms,5 Mbps,752 kB/s
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,200 ms,36 Mbps,4721 kB/s
8.219.1.169,443,8.219.1.169,SG,Singapore,中转,199 ms,8 Mbps,1104 kB/s
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,96 ms,0 Mbps,66 kB/s
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,202 ms,39 Mbps,5038 kB/s
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,1076 ms,181 Mbps,23244 kB/s
