中转IP,中转端口,回源IP,国家,数据中心,IP类型,网络延迟,等效带宽,峰值速度,峰值速度数值
18.216.55.100,443,18.216.55.100,US,Columbus,中转,10 ms,800 Mbps,102400 kB/s,102400.0
34.82.76.253,443,34.169.31.209,US,Seattle,隧道,55 ms,564 Mbps,72294 kB/s,72294.0
35.197.23.75,443,35.212.227.159,US,Seattle,隧道,51 ms,500 Mbps,64000 kB/s,64000.0
35.230.79.26,443,35.212.227.159,US,Seattle,隧道,50 ms,489 Mbps,62668 kB/s,62668.0
192.9.139.160,443,192.9.139.160,US,San Jose,中转,48 ms,445 Mbps,57036 kB/s,57036.0
184.169.181.217,443,184.169.181.217,US,San Jose,中转,65 ms,434 Mbps,55603 kB/s,55603.0
23.94.43.51,443,23.94.43.51,US,Seattle,中转,51 ms,424 Mbps,54272 kB/s,54272.0
198.23.254.51,443,198.23.254.51,US,San Jose,中转,49 ms,314 Mbps,40243 kB/s,40243.0
152.70.155.147,443,152.70.155.147,US,Los Angeles,中转,58 ms,282 Mbps,36147 kB/s,36147.0
152.70.52.84,443,2606:f240:f00:a683:0:a57f:6ae3:6a0f,DE,Frankfurt,隧道,108 ms,224 Mbps,28774 kB/s,28774.0
18.184.55.249,443,18.184.55.249,DE,Frankfurt,中转,109 ms,209 Mbps,26828 kB/s,26828.0
64.110.101.125,443,64.110.101.125,JP,Singapore,中转,155 ms,148 Mbps,19046 kB/s,19046.0
3.112.21.102,443,3.112.21.102,JP,Tokyo,中转,146 ms,140 Mbps,18022 kB/s,18022.0
64.110.75.145,443,64.110.75.145,KR,Seoul,中转,174 ms,89 Mbps,11468 kB/s,11468.0
138.3.252.187,443,138.3.252.187,DE,Frankfurt,中转,111 ms,49 Mbps,6368 kB/s,6368.0
132.145.232.171,443,2603:c020:8017:1500:df10:8f8a:d484:d994,DE,Frankfurt,隧道,109 ms,47 Mbps,6075 kB/s,6075.0
168.138.46.67,443,168.138.46.67,JP,Osaka,中转,156 ms,44 Mbps,5726 kB/s,5726.0
168.138.165.174,443,168.138.165.174,SG,Singapore,中转,1241 ms,41 Mbps,5319 kB/s,5319.0
146.56.162.25,443,146.56.162.25,KR,Seoul,中转,176 ms,38 Mbps,4947 kB/s,4947.0
150.230.7.216,443,150.230.7.216,JP,Singapore,中转,150 ms,36 Mbps,4632 kB/s,4632.0
158.101.214.54,443,158.101.214.54,NL,Amsterdam,中转,108 ms,34 Mbps,4458 kB/s,4458.0
131.186.17.132,443,131.186.17.132,KR,Seoul,中转,198 ms,34 Mbps,4450 kB/s,4450.0
168.138.13.201,443,168.138.13.201,AU,Melbourne,中转,201 ms,32 Mbps,4176 kB/s,4176.0
64.110.104.30,443,64.110.104.30,JP,Osaka,中转,148 ms,25 Mbps,3284 kB/s,3284.0
192.9.180.162,443,192.9.180.162,AU,Sydney,中转,192 ms,13 Mbps,1757 kB/s,1757.0
129.159.84.71,443,129.159.84.71,US,Ashburn,中转,122 ms,0 Mbps,53 kB/s,53.0
47.57.13.107,443,8.212.22.44,HK,Hong Kong,隧道,196 ms,0 Mbps,4 kB/s,4.0
